Name,mycities
Adelanto,Adelanto-city
Agoura Hills,Agoura-Hills-city
Alameda,Alameda-city
Albany,Albany-city
Alhambra,Alhambra-city
Aliso Viejo,Aliso-Viejo-city
Alturas,Alturas-city
Amador City,Amador-City-city
American Canyon,American-Canyon-city
Anaheim,Anaheim-city
Anderson,Anderson-city
Angels,Angels-city
Antioch,Antioch-city
Arcadia,Arcadia-city
Arcata,Arcata-city
Arroyo Grande,Arroyo-Grande-city
Artesia,Artesia-city
Arvin,Arvin-city
Atascadero,Atascadero-city
Atwater,Atwater-city
Auburn,Auburn-city
Avalon,Avalon-city
Avenal,Avenal-city
Azusa,Azusa-city
Bakersfield,Bakersfield-city
Baldwin Park,Baldwin-Park-city
Banning,Banning-city
Barstow,Barstow-city
Beaumont,Beaumont-city
Bell,Bell-Gardens-city
Bell Gardens,Bellflower-city
Bellflower,Belmont-city
Belmont,Belvedere-city
Belvedere,Berkeley-city
Berkeley,Beverly-Hills-city
Beverly Hills,Big-Bear-Lake-city
Big Bear Lake,Biggs-city
Biggs,Bishop-city
Bishop,Blue-Lake-city
Blue Lake,Blythe-city
Blythe,Bradbury-city
Bradbury,Brawley-city
Brawley,Brea-city
Brea,Brentwood-city
Brentwood,Brisbane-city
Brisbane,Buellton-city
Buellton,Buena-Park-city
Buena Park,Burbank-city
Burbank,Burlingame-city
Burlingame,Calabasas-city
Calabasas,Calexico-city
Calexico,California-City-city
California City,Calimesa-city
Calimesa,Calipatria-city
Calipatria,Calistoga-city
Calistoga,Camarillo-city
Camarillo,Campbell-city
Campbell,Canyon-Lake-city
Canyon Lake,Capitola-city
Capitola,Carlsbad-city
Carlsbad,Carmel-By-the-Sea-city
Carmel-By-the-Sea,Carpinteria-city
Carpinteria,Carson-city
Carson,Cathedral-City-city
Cathedral City,Ceres-city
Ceres,Cerritos-city
Cerritos,Chico-city
Chico,Chino-city
Chino,Chino-Hills-city
Chino Hills,Chowchilla-city
Chowchilla,Chula-Vista-city
Chula Vista,Citrus-Heights-city
Citrus Heights,Claremont-city
Claremont,Clayton-city
Clayton,Clearlake-city
Clearlake,Cloverdale-city
Cloverdale,Clovis-city
Clovis,Coachella-city
Coachella,Coalinga-city
Coalinga,Colfax-city
Colfax,Colton-city
Colton,Colusa-city
Colusa,Commerce-city
Commerce,Compton-city
Compton,Concord-city
Concord,Corcoran-city
Corcoran,Corning-city
Corning,Corona-city
Corona,Coronado-city
Coronado,Costa-Mesa-city
Costa Mesa,Cotati-city
Cotati,Covina-city
Covina,Crescent-City-city
Crescent City,Cudahy-city
Cudahy,Culver-City-city
Culver City,Cupertino-city
Cupertino,Cypress-city
Cypress,Daly-City-city
Daly City,Dana-Point-city
Dana Point,Davis-city
Davis,Del-Mar-city
Del Mar,Del-Rey-Oaks-city
Del Rey Oaks,Delano-city
Delano,Desert-Hot-Springs-city
Desert Hot Springs,Diamond-Bar-city
Diamond Bar,Dinuba-city
Dinuba,Dixon-city
Dixon,Dorris-city
Dorris,Dos-Palos-city
Dos Palos,Downey-city
Downey,Duarte-city
Duarte,Dublin-city
Dublin,Dunsmuir-city
